4k高清,#genre#
CCTV12,http://192.168.2.200:9988/rtp/232.0.0.136:9152
CCTV12,http://192.168.2.200:9988/rtp/232.0.0.12:8520
CCTV13,http://192.168.2.200:9988/rtp/232.0.0.146:9112
CCTV13,http://192.168.2.200:9988/rtp/232.0.0.13:8522
CCTV14,http://192.168.2.200:9988/rtp/232.0.0.137:9154
CCTV14,http://192.168.2.200:9988/rtp/232.0.0.14:8524
CCTV15,http://192.168.2.200:9988/rtp/232.0.0.169:9342
CCTV15,http://192.168.2.200:9988/rtp/232.0.0.41:8526
CCTV16,http://192.168.2.200:9988/rtp/232.0.0.36:8694
CCTV17,http://192.168.2.200:9988/rtp/232.0.0.63:8686
CCTV17,http://192.168.2.200:9988/rtp/232.0.0.228:9278
央视文化精品,http://192.168.2.200:9988/rtp/232.0.0.107:8698
女性时尚,http://192.168.2.200:9988/rtp/232.0.0.120:8858
央视台球,http://192.168.2.200:9988/rtp/232.0.0.122:9290
高尔夫网球,http://192.168.2.200:9988/rtp/232.0.0.215:9248
第一剧场,http://192.168.2.200:9988/rtp/232.0.0.147:9132
世界地理,http://192.168.2.200:9988/rtp/232.0.0.123:9292
电视指南,http://192.168.2.200:9988/rtp/232.0.0.162:9124
怀旧剧场,http://192.168.2.200:9988/rtp/232.0.0.204:9226
兵器科技,http://192.168.2.200:9988/rtp/232.0.0.121:8882
风云剧场,http://192.168.2.200:9988/rtp/232.0.0.52:8610
风云音乐,http://192.168.2.200:9988/rtp/232.0.0.108:9288
风云足球,http://192.168.2.200:9988/rtp/232.0.0.90:9286
发现之旅,http://192.168.2.200:9988/rtp/232.0.0.20:8630
老故事,http://192.168.2.200:9988/rtp/232.0.0.218:9254
中学生,http://192.168.2.200:9988/rtp/232.0.0.47:8676
CETV1,http://192.168.2.200:9988/rtp/232.0.0.192:9202
CETV2,http://192.168.2.200:9988/rtp/232.0.0.98:8612
CETV4,http://192.168.2.200:9988/rtp/232.0.0.175:9354
CETV4,http://192.168.2.200:9988/rtp/232.0.0.51:8690
CGTN阿拉伯语,http://192.168.2.200:9988/rtp/232.0.0.8:8664
CGTN俄语,http://192.168.2.200:9988/rtp/232.0.0.43:8660
CGTN法语,http://192.168.2.200:9988/rtp/232.0.0.176:9170
CGTN记录,http://192.168.2.200:9988/rtp/232.0.0.201:9220
CGTN记录,http://192.168.2.200:9988/rtp/232.0.0.9:8832
CGTN西班牙语,http://192.168.2.200:9988/rtp/232.0.0.191:9200
CGTN英语,http://192.168.2.200:9988/rtp/232.0.0.202:9222

卫视频道,#genre#
安徽卫视,http://192.168.2.200:9988/rtp/232.0.0.138:9156
安徽卫视,http://192.168.2.200:9988/rtp/232.0.0.73:8556
北京纪实科教,http://192.168.2.200:9988/rtp/232.0.0.185:9188
北京卫视,http://192.168.2.200:9988/rtp/232.0.0.117:8860
北京卫视,http://192.168.2.200:9988/rtp/232.0.0.68:8548
兵团卫视,http://192.168.2.200:9988/rtp/232.0.0.23:8756
兵团卫视,http://192.168.2.200:9988/rtp/232.0.0.67:8640
东方卫视,http://192.168.2.200:9988/rtp/232.0.0.128:9100
东方卫视,http://192.168.2.200:9988/rtp/232.0.0.17:8546
东南卫视,http://192.168.2.200:9988/rtp/232.0.0.174:9352
东南卫视,http://192.168.2.200:9988/rtp/232.0.0.74:8578
甘肃卫视,http://192.168.2.200:9988/rtp/232.0.0.50:8642
广东卫视,http://192.168.2.200:9988/rtp/232.0.0.160:9120
广东卫视,http://192.168.2.200:9988/rtp/232.0.0.72:8580
广西卫视,http://192.168.2.200:9988/rtp/232.0.0.127:9300
广西卫视,http://192.168.2.200:9988/rtp/232.0.0.76:8582
贵州卫视,http://192.168.2.200:9988/rtp/232.0.0.171:9346
贵州卫视,http://192.168.2.200:9988/rtp/232.0.0.87:8584
海南卫视,http://192.168.2.200:9988/rtp/232.0.0.195:9208
海南卫视,http://192.168.2.200:9988/rtp/232.0.0.71:8586
河北卫视,http://192.168.2.200:9988/rtp/232.0.0.64:8608
河北卫视,http://192.168.2.200:9988/rtp/232.0.0.49:8500
河南卫视,http://192.168.2.200:9988/rtp/232.0.0.48:8666
河南卫视,http://192.168.2.200:9988/rtp/232.0.0.80:8570
黑龙江卫视,http://192.168.2.200:9988/rtp/232.0.0.95:8866
黑龙江卫视,http://192.168.2.200:9988/rtp/232.0.0.85:8576
湖北卫视,http://192.168.2.200:9988/rtp/232.0.0.130:9104
湖北卫视,http://192.168.2.200:9988/rtp/232.0.0.83:8562
湖南卫视,http://192.168.2.200:9988/rtp/232.0.0.115:8864
湖南卫视,http://192.168.2.200:9988/rtp/232.0.0.69:8560
吉林卫视,http://192.168.2.200:9988/rtp/232.0.0.170:9344
吉林卫视,http://192.168.2.200:9988/rtp/232.0.0.84:8574
江苏卫视,http://192.168.2.200:9988/rtp/232.0.0.116:8862
江苏卫视,http://192.168.2.200:9988/rtp/232.0.0.79:8550
江西卫视,http://192.168.2.200:9988/rtp/232.0.0.112:8606
江西卫视,http://192.168.2.200:9988/rtp/232.0.0.82:8564
康巴卫视,http://192.168.2.200:9988/rtp/232.0.0.237:9370
内蒙古卫视,http://192.168.2.200:9988/rtp/232.0.0.111:8718
宁夏卫视,http://192.168.2.200:9988/rtp/232.0.0.45:8678
宁夏卫视,http://192.168.2.200:9988/rtp/232.0.0.34:8644
青海卫视,http://192.168.2.200:9988/rtp/232.0.0.101:8588
三沙卫视,http://192.168.2.200:9988/rtp/232.0.0.31:8654
厦门卫视,http://192.168.2.200:9988/rtp/232.0.0.183:9184
山东教育卫视,http://192.168.2.200:9988/rtp/232.0.0.200:9218
山东卫视,http://192.168.2.200:9988/rtp/232.0.0.161:9122
山东卫视,http://192.168.2.200:9988/rtp/232.0.0.78:8554
山西卫视,http://192.168.2.200:9988/rtp/232.0.0.86:8558
陕西卫视,http://192.168.2.200:9988/rtp/232.0.0.35:8590
深圳卫视,http://192.168.2.200:9988/rtp/232.0.0.110:8868
深圳卫视,http://192.168.2.200:9988/rtp/232.0.0.106:8592
四川卫视,http://192.168.2.200:9988/rtp/232.0.0.208:9234
四川卫视,http://192.168.2.200:9988/rtp/232.0.0.77:8568
天津卫视,http://192.168.2.200:9988/rtp/232.0.0.131:9106
天津卫视,http://192.168.2.200:9988/rtp/232.0.0.81:8572
西藏卫视(藏语),http://192.168.2.200:9988/rtp/232.0.0.235:9366
西藏卫视,http://192.168.2.200:9988/rtp/232.0.0.58:8670
西藏卫视,http://192.168.2.200:9988/rtp/232.0.0.114:8844
新疆卫视,http://192.168.2.200:9988/rtp/232.0.0.61:8614
新疆卫视,http://192.168.2.200:9988/rtp/232.0.0.18:8722
延边卫视,http://192.168.2.200:9988/rtp/232.0.0.184:9186
云南卫视,http://192.168.2.200:9988/rtp/232.0.0.24:8604
云南卫视,http://192.168.2.200:9988/rtp/232.0.0.40:8598
浙江卫视,http://192.168.2.200:9988/rtp/232.0.0.129:9102
浙江卫视,http://192.168.2.200:9988/rtp/232.0.0.70:8552
重庆卫视,http://192.168.2.200:9988/rtp/232.0.0.209:9236
重庆卫视,http://192.168.2.200:9988/rtp/232.0.0.75:8566
辽宁卫视,http://192.168.2.200:9988/rtp/232.0.0.144:9108
辽宁卫视,http://192.168.2.200:9988/rtp/232.0.0.16:8528

省内频道,#genre#
辽宁北方,http://192.168.2.200:9988/rtp/232.0.0.211:9240
辽宁北方,http://192.168.2.200:9988/rtp/232.0.0.55:8542
辽宁都市,http://192.168.2.200:9988/rtp/232.0.0.42:8856
辽宁都市,http://192.168.2.200:9988/rtp/232.0.0.88:8890
辽宁公共,http://192.168.2.200:9988/rtp/232.0.0.156:9322
辽宁公共,http://192.168.2.200:9988/rtp/232.0.0.226:9274
辽宁教育青少,http://192.168.2.200:9988/rtp/232.0.0.230:9356
辽宁教育青少,http://192.168.2.200:9988/rtp/232.0.0.99:8536
辽宁经济,http://192.168.2.200:9988/rtp/232.0.0.155:9320
辽宁经济,http://192.168.2.200:9988/rtp/232.0.0.225:9272
辽宁生活,http://192.168.2.200:9988/rtp/232.0.0.212:9242
辽宁生活,http://192.168.2.200:9988/rtp/232.0.0.96:8538
辽宁体育休闲,http://192.168.2.200:9988/rtp/232.0.0.66:8820
辽宁体育休闲,http://192.168.2.200:9988/rtp/232.0.0.3:8540
宜佳购物,http://192.168.2.200:9988/rtp/232.0.0.21:8838
宜佳购物,http://192.168.2.200:9988/rtp/232.0.0.33:8652
